"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"09/19/2020","30","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","29","1","8","30","25"
"09/20/2020","30","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","27","1","9","30","27"
"09/21/2020","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","26","1","15","33","27"
"09/22/2020","35","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","34","6","13","35","25"
"09/23/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","42","3","26","46","32"
"09/24/2020","57","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","39","1","21","57","30"
"09/25/2020","61","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","46","1","18","61","36"
"09/26/2020","67","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","46","1","16","67","17"
"09/27/2020","33","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","33","0","11","31","12"
"09/28/2020","30","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","30","0","10","28","20"
"09/29/2020","35","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","34","0","11","35","20"
"09/30/2020","32","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","32","0","8","27","18"
"10/01/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","36","1","15","46","27"
"10/02/2020","54","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","26","1","12","54","26"
"10/03/2020","42","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","32","4","11","42","23"
"10/04/2020","34","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","32","1","9","34","19"
"10/05/2020","37","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","28","1","9","37","21"
"10/06/2020","43","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","35","1","13","43","30"
"10/07/2020","43","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","43","1","22","38","24"
"10/08/2020","29","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","29","3","14","26","21"
"10/09/2020","34","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","28","1","9","34","23"
"10/10/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","45","1","17","46","15"
"10/11/2020","31","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","2","31","1","9","28","19"
"10/12/2020","30","PM2.5","Brockton Buckley","25-023-0005","AQS","2","29","1","17","30","8"
"10/13/2020","27","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","27","1","7","26","14"
"10/14/2020","36","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","35","4","12","36","36"
"10/15/2020","47","Ozone","Brockton Buckley","25-023-0005","AQS","6","47","3","19","46","29"
"10/16/2020","31","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","31","1","11","30","28"
"10/17/2020","41","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","29","3","9","41","31"
"10/18/2020","53","PM2.5","Brockton Buckley","25-023-0005","AQS","8","32","1","14","53","29"
"10/19/2020","48","PM2.5","VON HILLERN ST","25-025-0044","AQS","9","31","9","18","48","31"
"10/20/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","24","1","13","38","28"
"10/21/2020","26","NO2","BOSTON KENMORE SQ","25-025-0002","AQS","5","23","1","12","23","26"
"10/22/2020","30","PM2.5","BOSTON KENMORE SQ","25-025-0002","AQS","5","29","1","11","30","24"
"10/23/2020","32","PM2.5","ChelmsfordNR","25-017-0010","AQS","2","29","1","12","32","22"
"10/24/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","27","1","14","38","15"
"10/25/2020","32","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","2","26","1","8","32","17"
"10/26/2020","34","PM2.5","ChelmsfordNR","25-017-0010","AQS","3","28","1","9","34","20"
"10/27/2020","26","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","25","4","9","26","18"
"10/28/2020","30","NO2","BOSTON KENMORE SQ","25-025-0002","AQS","3","19","1","6","24","30"
